Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/06,6,June,2003,1009,1275,3217,17,328,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",11,216,5843,27,23974,30060,61606,68335,118831,518,268764,19474
BOS,"Boston, MA: Logan International",2003/06,6,June,2003,374,495,685,3,66,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",14,138,1623,3,7875,9639,20319,28189,24400,99,77167,4160
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/06,6,June,2003,296,477,389,8,78,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,29,1245,15,6998,8287,13635,26810,17556,278,64480,6201
CLT,"Charlotte, NC: Charlotte Douglas International",2003/06,6,June,2003,300,472,735,2,54,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,73,1562,14,7021,8670,14763,23379,23804,127,65865,3792
DCA,"Washington, DC: Ronald Reagan Washington National",2003/06,6,June,2003,283,268,487,4,58,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,74,1100,18,5321,6513,13775,13712,20999,120,52747,4141
DEN,"Denver, CO: Denver International",2003/06,6,June,2003,516,323,664,11,98,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,34,1611,22,10024,11691,26634,18969,23538,706,75428,5581
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/06,6,June,2003,986,1390,2147,19,258,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,394,4798,133,22303,27628,70918,80714,90574,683,263521,20632
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/06,6,June,2003,376,371,570,6,71,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,123,1395,9,10227,11754,21802,18715,16482,139,60667,3529
EWR,"Newark, NJ: Newark Liberty International",2003/06,6,June,2003,322,519,1948,10,121,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,102,2921,42,9441,12506,20190,30905,91048,490,150513,7880
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/06,6,June,2003,247,256,427,5,34,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,13,967,10,3672,4662,12547,14600,14935,141,44303,2080
IAD,"Washington, DC: Washington Dulles International",2003/06,6,June,2003,320,295,573,3,66,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",13,101,1256,35,7027,8419,16754,18074,25807,182,65529,4712
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/06,6,June,2003,329,730,1405,15,123,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,91,2601,173,12686,15551,21782,43428,56414,577,134182,11981
JFK,"New York, NY: John F. Kennedy International",2003/06,6,June,2003,376,226,394,21,28,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",11,24,1046,13,4695,5778,22029,11593,14103,659,50335,1951
LAS,"Las Vegas, NV: McCarran International",2003/06,6,June,2003,511,678,624,17,64,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,39,1893,6,9821,11759,24293,31043,19561,808,79533,3828
LAX,"Los Angeles, CA: Los Angeles International",2003/06,6,June,2003,830,765,842,37,97,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,101,2571,10,15780,18462,40089,39655,26162,2559,114434,5969
LGA,"New York, NY: LaGuardia",2003/06,6,June,2003,302,338,867,4,94,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,121,1604,22,7161,8908,17384,18954,41007,191,82859,5323
MCO,"Orlando, FL: Orlando International",2003/06,6,June,2003,368,434,535,3,48,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,9,1388,9,6211,7617,17707,26116,18073,56,65140,3188
MDW,"Chicago, IL: Chicago Midway International",2003/06,6,June,2003,180,411,311,12,39,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,Southwest Airlines Co.",9,47,951,6,6057,7061,8535,20938,10702,331,42962,2456
MIA,"Miami, FL: Miami International",2003/06,6,June,2003,247,210,585,2,66,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,28,1105,22,3745,4900,12609,12700,22976,66,52191,3840
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/06,6,June,2003,428,376,759,9,106,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,101,1678,11,10404,12194,27468,20994,23137,529,78259,6131
ORD,"Chicago, IL: Chicago O'Hare International",2003/06,6,June,2003,801,982,2947,11,157,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",12,261,4899,38,24997,30195,54296,55855,135851,604,257007,10401
PDX,"Portland, OR: Portland International",2003/06,6,June,2003,193,248,213,11,22,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",9,17,684,5,4040,4746,8260,11909,5943,505,27645,1028
PHL,"Philadelphia, PA: Philadelphia International",2003/06,6,June,2003,338,565,1083,1,64,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",12,83,2049,20,6917,9069,16478,31005,45538,21,97173,4131
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/06,6,June,2003,491,569,664,19,41,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,57,1783,10,12158,14008,26512,27458,18673,768,76031,2620
SAN,"San Diego, CA: San Diego International",2003/06,6,June,2003,324,349,341,8,30,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,20,1052,4,5775,6851,15034,15747,10449,223,43215,1762
SEA,"Seattle, WA: Seattle/Tacoma International",2003/06,6,June,2003,448,552,454,28,36,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,63,1516,9,7658,9246,22647,28119,13860,1097,68673,2950
SFO,"San Francisco, CA: San Francisco International",2003/06,6,June,2003,416,312,1080,14,59,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,83,1880,9,8211,10183,22673,17879,45407,1138,90487,3390
SLC,"Salt Lake City, UT: Salt Lake City International",2003/06,6,June,2003,363,290,352,15,36,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",10,34,1057,0,9491,10582,16227,13883,10512,556,42863,1685
TPA,"Tampa, FL: Tampa International",2003/06,6,June,2003,226,327,524,3,42,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,12,1122,11,4256,5401,11012,18558,19078,112,51364,2604
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/07,7,July,2003,1259,1791,4022,13,367,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",11,484,7452,71,22868,30875,87261,116728,184740,356,418274,29189
BOS,"Boston, MA: Logan International",2003/07,7,July,2003,450,587,609,0,61,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",14,226,1710,3,8033,9972,28610,36619,26923,10,97186,5024
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/07,7,July,2003,387,646,544,4,102,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,57,1679,20,6855,8611,18395,42876,28654,81,100157,10151
CLT,"Charlotte, NC: Charlotte Douglas International",2003/07,7,July,2003,335,542,945,0,74,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,163,1895,24,6883,8965,17830,32502,37630,0,94531,6569
DCA,"Washington, DC: Ronald Reagan Washington National",2003/07,7,July,2003,343,270,573,3,74,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,181,1260,13,5241,6695,17776,18002,25897,111,67839,6053
DEN,"Denver, CO: Denver International",2003/07,7,July,2003,562,434,646,2,111,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,71,1753,9,10869,12702,29155,30028,25912,87,91893,6711
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/07,7,July,2003,1216,1443,2081,18,244,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,274,5003,64,22982,28323,78047,83156,80740,447,258631,16241
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/07,7,July,2003,475,448,816,4,145,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,175,1891,22,10104,12192,33660,26421,30809,137,103913,12886
EWR,"Newark, NJ: Newark Liberty International",2003/07,7,July,2003,410,706,1665,11,125,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,285,2917,59,9797,13058,27536,45894,95872,295,180839,11242
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/07,7,July,2003,262,328,412,6,35,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,19,1041,1,3785,4846,13333,21007,15824,172,52714,2378
IAD,"Washington, DC: Washington Dulles International",2003/07,7,July,2003,395,406,671,10,84,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",13,217,1567,14,6990,8788,22887,26373,35084,309,92720,8067
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/07,7,July,2003,441,960,1506,9,115,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,90,3031,77,13269,16467,27204,52723,52976,221,141506,8382
JFK,"New York, NY: John F. Kennedy International",2003/07,7,July,2003,347,231,455,12,39,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",11,32,1082,24,5067,6205,21108,13117,16836,362,54400,2977
LAS,"Las Vegas, NV: McCarran International",2003/07,7,July,2003,560,760,570,8,99,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,73,1998,52,10083,12206,30498,44219,26557,210,110270,8786
LAX,"Los Angeles, CA: Los Angeles International",2003/07,7,July,2003,864,807,557,12,141,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,145,2380,10,16760,19295,45717,47458,23552,224,126984,10033
LGA,"New York, NY: LaGuardia",2003/07,7,July,2003,336,434,1060,0,105,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,285,1934,63,7012,9294,20643,27725,61204,12,117366,7782
MCO,"Orlando, FL: Orlando International",2003/07,7,July,2003,451,519,797,3,63,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,19,1834,10,6163,8026,24063,34566,32395,60,95295,4211
MDW,"Chicago, IL: Chicago Midway International",2003/07,7,July,2003,236,559,637,14,86,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,Southwest Airlines Co.",9,62,1531,51,5655,7299,13792,38121,35400,370,95992,8309
MIA,"Miami, FL: Miami International",2003/07,7,July,2003,315,268,588,4,41,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",12,44,1216,17,3849,5126,20847,19233,22787,121,66719,3731
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/07,7,July,2003,531,428,860,6,108,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,141,1930,13,10766,12850,33129,28529,32299,153,102280,8170
ORD,"Chicago, IL: Chicago O'Hare International",2003/07,7,July,2003,961,1728,4305,8,258,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",12,1258,7259,135,22693,31345,75266,137519,314331,201,551568,24251
