Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/11,11,November,2003,354,348,670,2,87,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,114,1460,9,9791,11374,25903,17650,19054,45,68865,6213
EWR,"Newark, NJ: Newark Liberty International",2003/11,11,November,2003,252,567,2278,3,175,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,307,3274,40,8796,12417,15831,30967,131554,268,190818,12198
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/11,11,November,2003,188,261,288,5,17,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,9,756,2,4319,5086,8293,15339,10364,193,35542,1353
IAD,"Washington, DC: Washington Dulles International",2003/11,11,November,2003,250,363,578,1,38,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",13,136,1229,59,6776,8200,14036,22984,31415,26,72043,3582
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/11,11,November,2003,403,562,1629,9,71,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,157,2674,94,12697,15622,22622,28648,62969,246,123262,8777
JFK,"New York, NY: John F. Kennedy International",2003/11,11,November,2003,215,163,301,8,33,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",11,31,718,24,5233,6006,10596,11833,11497,257,38034,3851
LAS,"Las Vegas, NV: McCarran International",2003/11,11,November,2003,478,739,1541,6,50,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,78,2813,6,9211,12108,22575,38347,54246,143,118512,3201
LAX,"Los Angeles, CA: Los Angeles International",2003/11,11,November,2003,770,703,1746,11,66,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,232,3295,39,14701,18267,39795,39592,62327,370,146926,4842
LGA,"New York, NY: LaGuardia",2003/11,11,November,2003,280,381,1363,0,99,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,261,2121,16,6480,8878,14283,23157,67267,0,111408,6701
MCO,"Orlando, FL: Orlando International",2003/11,11,November,2003,285,336,360,3,21,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",14,16,1005,7,6705,7733,13381,18886,11014,75,44765,1409
MDW,"Chicago, IL: Chicago Midway International",2003/11,11,November,2003,165,393,664,4,87,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,Southwest Airlines Co.",9,110,1314,55,5727,7206,8282,24846,39137,85,81373,9023
MIA,"Miami, FL: Miami International",2003/11,11,November,2003,186,165,370,3,22,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",12,22,747,7,4452,5228,11522,11307,13682,209,38115,1395
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/11,11,November,2003,401,455,1232,4,106,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,164,2201,11,8988,11364,25646,25600,37561,85,96480,7588
ORD,"Chicago, IL: Chicago O'Hare International",2003/11,11,November,2003,806,1778,9066,6,202,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",13,1403,11857,77,17869,31206,55398,111600,560287,260,743287,15742
PDX,"Portland, OR: Portland International",2003/11,11,November,2003,201,273,296,3,25,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",10,32,799,7,3620,4458,8988,14469,8809,47,33459,1146
PHL,"Philadelphia, PA: Philadelphia International",2003/11,11,November,2003,218,390,1027,0,54,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,125,1692,17,6875,8709,11845,21497,44068,0,81901,4491
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/11,11,November,2003,495,652,1108,6,34,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,123,2294,9,11153,13579,26119,33232,33169,184,95079,2375
SAN,"San Diego, CA: San Diego International",2003/11,11,November,2003,321,376,564,2,19,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,55,1281,11,5438,6785,14437,18046,18067,51,51951,1350
SEA,"Seattle, WA: Seattle/Tacoma International",2003/11,11,November,2003,383,568,819,7,38,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,74,1813,21,6250,8158,19237,29962,25021,150,76593,2223
SFO,"San Francisco, CA: San Francisco International",2003/11,11,November,2003,474,384,1735,1,45,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",12,111,2640,12,7205,9968,23068,23795,79934,53,129450,2600
SLC,"Salt Lake City, UT: Salt Lake City International",2003/11,11,November,2003,432,388,726,23,69,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",11,105,1637,6,8454,10202,19077,18475,22097,597,64303,4057
TPA,"Tampa, FL: Tampa International",2003/11,11,November,2003,203,275,259,1,18,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",10,12,757,6,4647,5422,9260,14720,7571,20,32929,1358
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/12,12,December,2003,1303,1408,4277,24,271,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",11,630,7284,12,23508,31434,79326,88823,237514,998,428346,21685
BOS,"Boston, MA: Logan International",2003/12,12,December,2003,435,655,1065,2,60,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",14,820,2216,29,6539,9604,25524,42351,50518,211,123583,4979
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/12,12,December,2003,397,638,568,7,40,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,125,1652,15,6756,8548,17880,35518,20641,288,77398,3071
CLT,"Charlotte, NC: Charlotte Douglas International",2003/12,12,December,2003,317,523,540,2,25,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,134,1407,1,7468,9010,13285,26385,16119,211,57167,1167
DCA,"Washington, DC: Ronald Reagan Washington National",2003/12,12,December,2003,329,367,485,4,41,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",14,245,1223,4,5158,6630,15926,20075,15053,159,53993,2780
DEN,"Denver, CO: Denver International",2003/12,12,December,2003,969,516,629,10,102,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",14,110,2227,3,10319,12659,41114,30323,19967,359,98240,6477
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/12,12,December,2003,1046,1218,1975,24,221,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,370,4485,30,24484,29369,67349,62542,68126,944,213893,14932
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/12,12,December,2003,503,510,996,9,66,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,226,2085,7,9396,11714,27304,23990,28790,277,83818,3457
EWR,"Newark, NJ: Newark Liberty International",2003/12,12,December,2003,455,736,2538,15,125,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,843,3870,29,8233,12975,27159,48602,150067,468,238374,12078
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/12,12,December,2003,337,341,560,16,27,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,57,1283,4,4050,5394,15609,20525,25693,462,64746,2457
IAD,"Washington, DC: Washington Dulles International",2003/12,12,December,2003,393,481,595,2,47,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",13,269,1519,10,6789,8587,20151,31153,26022,52,82010,4632
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/12,12,December,2003,523,718,1483,31,66,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,90,2819,62,13841,16812,30899,38071,47604,885,123568,6109
JFK,"New York, NY: John F. Kennedy International",2003/12,12,December,2003,387,401,587,13,33,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",11,230,1421,14,4836,6501,22344,25992,26441,379,78139,2983
LAS,"Las Vegas, NV: McCarran International",2003/12,12,December,2003,646,1001,863,10,85,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",14,104,2603,17,9709,12433,29901,49205,33993,508,120231,6624
LAX,"Los Angeles, CA: Los Angeles International",2003/12,12,December,2003,1223,1065,1145,22,164,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,283,3619,17,15533,19452,58720,54450,38180,777,163684,11557
LGA,"New York, NY: LaGuardia",2003/12,12,December,2003,381,599,1696,3,89,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,689,2767,57,5548,9061,24430,40488,91835,100,164964,8111
MCO,"Orlando, FL: Orlando International",2003/12,12,December,2003,463,516,577,11,47,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,80,1614,10,6426,8130,21291,31277,22914,433,79580,3665
MDW,"Chicago, IL: Chicago Midway International",2003/12,12,December,2003,228,506,522,12,31,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,Southwest Airlines Co.",9,115,1300,7,6050,7472,11196,27136,18559,331,58863,1641
MIA,"Miami, FL: Miami International",2003/12,12,December,2003,364,259,575,13,72,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,54,1283,7,4164,5508,19605,16869,21984,490,64961,6013
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/12,12,December,2003,585,528,1321,24,76,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,200,2530,9,9291,12030,33026,26926,39680,709,104818,4477
ORD,"Chicago, IL: Chicago O'Hare International",2003/12,12,December,2003,1146,2311,8292,11,254,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",13,1034,12012,12,19638,32696,75506,136636,394549,559,624499,17249
PDX,"Portland, OR: Portland International",2003/12,12,December,2003,312,405,338,5,38,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",10,39,1096,10,3593,4738,14317,19287,10355,135,46126,2032
PHL,"Philadelphia, PA: Philadelphia International",2003/12,12,December,2003,376,576,1211,2,49,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,263,2215,19,6582,9079,17036,36787,55663,86,114072,4500
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/12,12,December,2003,728,791,673,12,68,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,157,2272,9,11729,14167,35856,39342,21005,256,102381,5922
SAN,"San Diego, CA: San Diego International",2003/12,12,December,2003,491,500,484,5,68,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,88,1549,29,5482,7148,20827,25001,15674,203,66906,5201
SEA,"Seattle, WA: Seattle/Tacoma International",2003/12,12,December,2003,552,726,640,8,53,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,82,1980,13,6616,8691,25084,38695,20363,195,87174,2837
SFO,"San Francisco, CA: San Francisco International",2003/12,12,December,2003,612,562,2186,13,102,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",12,208,3474,12,6951,10645,31356,36626,127523,307,202376,6564
SLC,"Salt Lake City, UT: Salt Lake City International",2003/12,12,December,2003,846,578,868,21,282,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",11,401,2594,23,7791,10809,42955,34139,43500,675,150262,28993
TPA,"Tampa, FL: Tampa International",2003/12,12,December,2003,328,387,379,3,24,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",10,59,1119,3,4587,5768,13982,20192,13761,113,49842,1794
